127.0.0.1 - - [24/May/2020:23:19:31 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/May/2020:23:19:34 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [24/May/2020:23:19:57 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:00 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:03 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:05 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:06 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:07 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:17 +0530] "GET /NationalBank/homepage.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [24/May/2020:23:20:19 +0530] "GET /NationalBank/registration.html HTTP/1.1" 200 1735
