127.0.0.1 - - [05/Jun/2020:20:15:02 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/ HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/css/style.css HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/img/money-1428594_1920.jpg HTTP/1.1" 200 591044
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/img/Happiness%20Bank.png HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/img/img1.jpg HTTP/1.1" 200 23821
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/img/img2.jpg HTTP/1.1" 200 42001
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:03 +0530] "GET /HappinessBank/resources/img/img3.jpg HTTP/1.1" 200 22067
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/img/Happiness%20Bank.png HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/img/img1.jpg HTTP/1.1" 200 23821
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/img/img3.jpg HTTP/1.1" 200 22067
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/img/money-1428594_1920.jpg HTTP/1.1" 200 591044
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:15 +0530] "GET /HappinessBank/resources/img/img2.jpg HTTP/1.1" 200 42001
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:37 +0530] "GET /HappinessBank/about.html HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:44 +0530] "GET /HappinessBank/contact.html HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:50 +0530] "GET /HappinessBank/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:20:15:59 +0530] "GET /HappinessBank/registration.html HTTP/1.1" 304 -
